Date,Open,High,Low,Close,Volume,Change
2001-02-14,3920,4040,3899,3980,394201,0.0
2001-02-15,4200,4210,4100,4130,698680,0.03768844221105527
2001-02-16,4150,4310,4130,4250,927555,0.029055690072639306
2001-02-19,4180,4210,4100,4190,457630,-0.014117647058823568
2001-02-20,4190,4280,4180,4240,363573,0.01193317422434359
2001-02-21,4160,4200,4140,4160,390024,-0.018867924528301883
2001-02-22,4080,4100,3940,4010,872169,-0.03605769230769229
2001-02-23,3920,3970,3830,3840,1537164,-0.04239401496259354
2001-02-26,3850,3860,3780,3840,713378,0.0
2001-02-27,3840,3940,3790,3790,773982,-0.01302083333333337
2001-02-28,3700,3780,3700,3740,574345,-0.01319261213720313
2001-03-02,3700,3700,3580,3610,890062,-0.03475935828877008
2001-03-05,3529,3720,3529,3720,492456,0.030470914127423754
2001-03-06,3820,3850,3760,3800,510082,0.021505376344086002
2001-03-07,3960,4010,3900,4000,1052875,0.05263157894736836
2001-03-08,3950,4010,3910,4010,627296,0.0024999999999999467
2001-03-09,3940,3940,3820,3840,616095,-0.04239401496259354
2001-03-12,3700,3760,3649,3670,772211,-0.04427083333333337
2001-03-13,3570,3650,3540,3640,676313,-0.008174386920980936
2001-03-14,3790,3910,3780,3900,785725,0.0714285714285714
2001-03-15,3790,3930,3760,3920,587410,0.00512820512820511
2001-03-16,3879,3920,3829,3890,466356,-0.007653061224489832
2001-03-19,3810,3880,3770,3800,497387,-0.023136246786632397
2001-03-20,3899,3920,3819,3820,429195,0.0052631578947368585
2001-03-21,3720,3900,3700,3870,811004,0.01308900523560208
2001-03-22,3979,3990,3920,3980,749337,0.028423772609819098
2001-03-23,4090,4370,4080,4300,1835148,0.08040201005025116
2001-03-26,4400,4430,4340,4340,857488,0.009302325581395321
2001-03-27,4300,4310,4120,4150,626950,-0.04377880184331795
2001-03-28,4260,4260,4150,4150,521567,0.0
2001-03-29,4090,4180,4039,4090,598422,-0.014457831325301207
2001-03-30,4110,4170,4040,4160,602077,0.017114914425427896
2001-04-02,4040,4100,3959,3990,782843,-0.04086538461538458
2001-04-03,3810,3869,3789,3800,921494,-0.04761904761904767
2001-04-04,3700,3739,3630,3660,1245631,-0.0368421052631579
2001-04-06,3960,3960,3780,3840,1705837,0.049180327868852514
2001-04-09,3790,3810,3710,3710,516809,-0.03385416666666663
2001-04-10,3709,3740,3610,3640,783590,-0.018867924528301883
2001-04-11,3780,3800,3720,3720,890351,0.0219780219780219
2001-04-12,3940,4090,3900,4010,1473266,0.07795698924731176
2001-04-13,4100,4150,4030,4060,776811,0.012468827930174564
2001-04-16,4060,4080,3939,3940,204097,-0.029556650246305383
2001-04-17,3920,4020,3850,3970,336359,0.0076142131979695105
2001-04-18,4110,4280,4069,4280,955879,0.07808564231738035
2001-04-19,4620,4919,4580,4700,2626128,0.0981308411214954
2001-04-20,4720,4780,4490,4490,898176,-0.044680851063829796
2001-04-23,4490,4610,4470,4540,635721,0.011135857461024523
2001-04-24,4410,4420,4330,4400,623792,-0.03083700440528636
2001-04-25,4340,4520,4320,4520,526949,0.027272727272727337
2001-04-26,4600,4600,4450,4470,784235,-0.011061946902654829
2001-04-27,4410,4450,4310,4340,433980,-0.029082774049216997
2001-04-30,4460,4620,4410,4580,764571,0.055299539170506895
2001-05-02,4700,4700,4540,4580,730267,0.0
2001-05-03,4620,4620,4490,4600,517991,0.004366812227074135
2001-05-04,4410,4510,4410,4460,656127,-0.0304347826086957
2001-05-07,4500,4630,4480,4600,358957,0.03139013452914807
2001-05-08,4590,4620,4520,4590,336524,-0.0021739130434782483
2001-05-09,4560,4580,4490,4500,413921,-0.019607843137254943
2001-05-10,4500,4560,4440,4500,492487,0.0
2001-05-11,4460,4470,4400,4410,554183,-0.020000000000000018
2001-05-14,4420,4460,4400,4430,286202,0.0045351473922903285
2001-05-15,4410,4450,4290,4340,528436,-0.020316027088036148
2001-05-16,4300,4370,4200,4210,517916,-0.02995391705069128
2001-05-17,4400,4430,4340,4430,482133,0.052256532066508266
2001-05-18,4380,4420,4340,4410,378388,-0.004514672686230292
2001-05-21,4500,4620,4430,4580,563256,0.038548752834467015
2001-05-22,4720,4780,4620,4620,976665,0.008733624454148492
2001-05-23,4599,4759,4580,4700,437809,0.017316017316017396
2001-05-24,4560,4600,4510,4530,605529,-0.036170212765957444
2001-05-25,4550,4650,4430,4440,673974,-0.019867549668874163
2001-05-28,4420,4480,4380,4450,369666,0.0022522522522523403
2001-05-29,4430,4640,4430,4640,485640,0.04269662921348316
2001-05-30,4500,4530,4450,4470,636313,-0.03663793103448276
2001-05-31,4320,4340,4190,4240,1271938,-0.05145413870246085
2001-06-01,4300,4300,4210,4240,586304,0.0
2001-06-04,4260,4310,4230,4240,399194,0.0
2001-06-05,4140,4240,4040,4060,1030410,-0.04245283018867929
2001-06-07,4080,4310,4080,4280,799372,0.054187192118226646
2001-06-08,4420,4510,4400,4470,854889,0.04439252336448596
2001-06-11,4330,4380,4280,4280,493626,-0.04250559284116329
2001-06-12,4220,4300,4210,4220,483939,-0.014018691588784993
2001-06-13,4300,4310,4200,4280,472921,0.014218009478673022
2001-06-14,4270,4310,4200,4230,556866,-0.011682242990654235
2001-06-15,4190,4200,4120,4190,817467,-0.009456264775413725
2001-06-18,4180,4180,4080,4100,681948,-0.021479713603818618
2001-06-19,4100,4170,4080,4110,625581,0.0024390243902439046
2001-06-20,4060,4070,3990,4000,770358,-0.02676399026763987
2001-06-21,4000,4040,3920,3960,816100,-0.010000000000000009
2001-06-22,3940,3940,3820,3870,893742,-0.022727272727272707
2001-06-25,3840,3929,3799,3870,518554,0.0
2001-06-26,3870,3900,3779,3780,670094,-0.023255813953488413
2001-06-27,3790,3800,3700,3720,819708,-0.015873015873015928
2001-06-28,3700,3790,3690,3750,540822,0.008064516129032251
2001-06-29,3840,3850,3800,3840,613537,0.02400000000000002
2001-07-02,3840,3880,3810,3860,465694,0.005208333333333259
2001-07-03,3900,3909,3870,3890,406148,0.007772020725388629
2001-07-04,3840,3939,3840,3940,274111,0.01285347043701801
2001-07-05,3939,3950,3859,3860,311035,-0.02030456852791873
2001-07-06,3740,3770,3649,3670,760498,-0.04922279792746109
2001-07-09,3499,3540,3390,3420,1632709,-0.0681198910081744
2001-07-10,3440,3489,3390,3400,653353,-0.005847953216374324
2001-07-11,3280,3410,3280,3380,759411,-0.00588235294117645
2001-07-12,3480,3560,3460,3520,1327393,0.041420118343195256
2001-07-13,3640,3640,3360,3400,931217,-0.03409090909090906
2001-07-16,3370,3390,3259,3340,558267,-0.01764705882352946
2001-07-18,3360,3420,3329,3350,668626,0.0029940119760478723
2001-07-19,3330,3539,3310,3540,746507,0.05671641791044779
2001-07-20,3520,3600,3470,3520,592597,-0.005649717514124242
2001-07-23,3500,3500,3430,3460,425554,-0.017045454545454586
2001-07-24,3400,3510,3400,3470,429673,0.0028901734104045396
2001-07-25,3460,3589,3440,3570,418182,0.028818443804034644
2001-07-26,3590,3650,3590,3630,437342,0.01680672268907557
2001-07-27,3730,3790,3689,3710,576045,0.02203856749311295
2001-07-30,3760,3780,3689,3710,401109,0.0
2001-07-31,3740,3810,3720,3790,444664,0.02156334231805923
2001-08-01,3829,3989,3810,3960,1157583,0.04485488126649084
2001-08-02,4020,4040,3880,3910,635840,-0.012626262626262652
2001-08-03,4000,4020,3950,3990,655941,0.020460358056265893
2001-08-06,3930,4000,3899,3980,322611,-0.0025062656641604564
2001-08-07,3880,3900,3810,3860,441781,-0.03015075376884424
2001-08-08,3820,3840,3740,3800,268180,-0.015544041450777257
2001-08-09,3690,3730,3659,3660,583411,-0.0368421052631579
2001-08-10,3710,3780,3710,3730,231661,0.0191256830601092
2001-08-13,3770,3830,3750,3830,372898,0.02680965147453085
2001-08-14,3900,3959,3870,3950,424405,0.031331592689294974
2001-08-16,3840,3899,3819,3900,366645,-0.012658227848101222
2001-08-17,3900,3960,3870,3920,354953,0.00512820512820511
2001-08-20,3800,3829,3780,3800,188771,-0.030612244897959218
2001-08-21,3820,3849,3700,3720,434725,-0.021052631578947323
2001-08-22,3629,3850,3629,3850,435449,0.034946236559139754
2001-08-23,3869,3910,3800,3850,298954,0.0
2001-08-24,3840,3880,3780,3840,150355,-0.0025974025974025983
2001-08-27,3960,4020,3920,3980,759108,0.03645833333333326
2001-08-28,4000,4000,3930,3940,410733,-0.01005025125628145
2001-08-29,3900,3970,3860,3930,382787,-0.0025380710659898
2001-08-30,3840,3940,3840,3920,251777,-0.0025445292620864812
2001-08-31,3860,3880,3749,3800,516960,-0.030612244897959218
2001-09-03,3810,3820,3750,3760,209020,-0.010526315789473717
2001-09-04,3760,3940,3750,3930,375560,0.04521276595744683
2001-09-05,3840,3849,3750,3790,420443,-0.03562340966921118
2001-09-06,3800,3850,3760,3770,349882,-0.00527704485488123
2001-09-07,3760,3819,3690,3820,456798,0.013262599469495928
2001-09-10,3770,3830,3729,3830,280072,0.002617801047120505
2001-09-11,3800,3850,3720,3740,316200,-0.023498694516971286
